Distrikt,Adresse,Type,Tømningshyppighed,Placering,Andet,northing,easting
Vest,Gudrunsvej 5,RM 30,2 gange,ved busstop,,56.15576,10.13915
Vest,Gudrunsvej 66 B,RM 512,2 gange,ved busstop,,56.15582,10.13865
Vest,Gudrunsvej 22-30,RM 512,2 gange,ved busstop,"overfor ""GLUBUS""",56.15862,10.14077
Vest,Gundrunsvej 3 B,lille med huller,2 gange,ved busstop,"ved ""GLUBUS""",56.15861,10.14100
Vest,Gudrunsvej 10,RM 30,2 gange,ved busstop,efter brandvej,56.16103,10.14074
Vest,Gudrunsvej o.f. 12,lille med huller,2 gange,ved busstop,,56.16104,10.14095
Vest,Sigridsvej 46,Holcher,2 gange,ved busstop,ved Nordgårdskolen,56.15683,10.13053
Vest,Jarlsmindevej 1,RM 30,1 gang,ved busstop,,56.12880,10.12505
Vest,Jarlsmindevej v/ Rubjergvej 3,lille med huller,1 gang,ved busstop,,56.13166,10.12495
Vest,Viborgvej / Åby Ringvej,Holcher,2 gange,ved busstop,,56.17066,10.15691
Vest,Viborgvej / Tingvej,Holcher,2 gange,ved busstop,,56.16671,10.16433
Vest,Viborgvej 117,Holcher,2 gange,ved busstop,,56.16479,10.16924
Vest,Viborgvej / Præstevangsvej,Holcher,2 gange,ved busstop,,56.16351,10.17367
Vest,Viborgvej / Frydenlunds Allé,Holcher,2 gange,ved busstop,,56.16349,10.17485
Vest,Viborgvej 114,RM 30,2 gange,ved busstop,,56.16521,10.16888
Vest,Anelystvej / sti til True,Holcher,1 gang,ved busstop,ved tunnel,56.17522,10.09515
Vest,Anelystvej / Anelystparken,RM 70,1 gang,ved busstop - nord,,56.18176,10.10018
Vest,Anelystvej / Viborgvej,Holcher,1 gang,ved busstop,,56.18373,10.10259
Vest,Jarlsmindevej / Klokkeskovvej,RM 512,1 gang,ved busstop,,56.13604,10.11792
Vest,Bispevej 7 / Søholmvej,RM 30,1 gang,ved busstop,,56.13691,10.11708
Vest,Bispevej o.f. 10,lille med huller,1 gang,ved busstop,,56.13862,10.11902
Vest,Bispevej 70,RM 70,1 gang,bus endestation,Søholm Hospice,56.14134,10.11587
Vest,Klokkeskovvej  p-plads v/ 19,RM 30,1 gang,ved busstop,,56.13301,10.11618
Vest,Klokkeskovvej 114,RM 512,1 gang,ved busstop,,56.13291,10.11643
Vest,Klokkeskovvej 15 M,RM 70 med huller,1 gang,ved busstop,buslomme,56.13260,10.11612
Vest,Ormslevvej 269,RM 70,1 gang,ved busstop,,56.12852,10.11686
Vest,Edelhoffvej 2B,lille med huller,1 gang,ved busstop,,56.14231,10.00186
Vest,Edelhoffvej 3,lille med huller,1 gang,ved busstop,,56.14240,10.00185
Vest,Vestervej 36,RM 30,1 gang,ved busstop,,56.14067,9.99554
Vest,Vestervej o.f 38,lille med huller,1 gang,ved busstop,,56.14049,9.99536
Vest,Rødlundvej 76,RM 30,1 gang,ved busstop,,56.14411,9.98764
Vest,Rødlundvej 268 A - 270 B,RM 30,1 gang,ved busstop,,56.14585,9.98730
Vest,Rødlundvej 312,RM 30,1 gang,ved busstop,,56.14759,9.98694
Vest,Lilleringvej / Spiræavej 3,Swingline,1 gang,ved busstop,,56.14927,9.99448
Vest,Lilleringvej 3,RM 30,1 gang,ved busstop,,56.15089,9.99888
Vest,Gammel Stillingvej 426,Swingline,1 gang,ved busstop,ved skolen,56.14571,9.99996
Vest,Gammel Stillingvej 560,Swingline,1 gang,ved busstop,overfor skolen,56.14624,10.00022
Vest,Gammel Stillingvej / Lærkesvinget,Swingline,1 gang,ved busstop,,56.14801,10.00126
Vest,Jernaldervej / Holmstrupgårdsvej,Holcher,1 gang,ved busstop,ved rundkørsel,56.17525,10.12022
Vest,Jernaldervej 215,Holcher,1 gang,ved busstop,ved stiunderføring,56.17365,10.13322
Vest,Jernaldervej o.f. 215,Holcher,1 gang,ved busstop,ved stiunderføring,56.17375,10.13324
Vest,Jernaldervej 398,Holcher,1 gang,ved busstop,,56.17463,10.12708
Vest,Jernaldervej / sti ved Stenaldervej,Holcher,1 gang,ved busstop,,56.17445,10.12725
Vest,Jernaldervej 226,Holcher,1 gang,ved busstop,overfor Gymnastikgården,56.17264,10.13991
Vest,Jernaldervej 41,Holcher,1 gang,ved busstop,ved Gymnastikgården,56.17233,10.14108
Vest,Jernaldervej v/Havefore. Moselund,Holcher,1 gang,ved bustop,stiunderføring ved skolen,56.17123,10.14807
Vest,Jernaldervej 5,Holcher,1 gang,ved busstop,ved Ellekærskolen,56.17070,10.15006
Vest,Herredsvej / sti til Snogebæksvej,lille med huller,1 gang,ved busstop,ved stiunderføring,56.17706,10.16732
Vest,Herredsvej / Fjældevænget,Holcher,1 gang,ved busstop,ved stiunderføring,56.17730,10.16692
Vest,Herredsvej / sti ved Trillegården,lille med huller,1 gang,ved busstop,ved tunnel,56.17965,10.16835
Vest,Herredsvej v/kirken,Holcher,1 gang,ved busstop,ved tunnel,56.17985,10.16794
Vest,Sandkåsvej 8,Holcher,1 gang,ved busstop,overfor lokalcenter,56.18061,10.16957
Vest,Rydevænget 53A,Holcher,1 gang,bus endestation,,56.18299,10.16725
Vest,Fjældevænget,Holcher,1 gang,bus endestation,ved Haslegårdsvej,56.17876,10.15740
Vest,Haslegårdsvej 61,Holcher,1 gang,ved busstop,,56.17628,10.15679
Vest,Haslegårdsvej 33,Holcher,1 gang,ved busstop,,56.17305,10.15910
Vest,Fuglebakkevej  / Høgevej,Holcher,2 gange,bus endestation,buslomme,56.17183,10.17209
Vest,Fuglebakkevej overfor nr 96,Holcher,1 gang,ved busstop,,56.16857,10.17241
Vest,Fuglebakkevej / Frydenlunds Allé,Holcher,1 gang,ved busstop,,56.16716,10.17519
Vest,Fuglebakkevej  64-70,Holcher,1 gang,ved busstop,,56.16731,10.17566
Vest,Fuglebakkevej / Fasanvej 25,Holcher,1 gang,ved busstop,,56.16653,10.17940
Vest,Fuglebakkevej 56 / Blåmejsevej,Holcher,1 gang,ved busstop,,56.16657,10.17984
Vest,Fuglebakkevej o.f. 4 A,Holcher,1 gang,ved busstop,Møllevangsskolen,56.16549,10.18526
Vest,Fuglebakkevej 4 A,Holcher,1 gang,ved busstop,Lokalcenter Fuglebakken,56.16566,10.18511
Vest,Truevej / Hovedgaden 72,RM 70,1 gang,på skilt,på hjørnet ved bageren,56.15325,10.10149
Vest,Truevej 1,RM 30,1 gang,på skilt,,56.15336,10.10129
Vest,Hejredalsvej 5,Holcher,1 gang,ved busstop,,56.15399,10.11809
Vest,Hejredalsvej / Stenbækvej,Holcher,1 gang,ved busstop,,56.15382,10.11802
Vest,Stenbækvej 17 A,Holcher,1 gang,ved busstop,ved tennisbaner,56.15630,10.11844
Vest,Stenbækvej / Egebjergvej,Holcher,1 gang,bus endestation,buslomme - syd,56.15901,10.11969
Vest,J.P. Larsensvej / Jernbanevej 7,Holcher,1 gang,ved busstop,,56.15505,10.10317
Vest,J.P. Larsens vej 19,Holcher,1 gang,ved busstop,,56.15450,10.10861
Vest,"J.P. Larsens Vej 7,",Holcher,1 gang,ved busstop,,56.15405,10.11377
Vest,Langdalsvej 25,Holcher,1 gang,ved busstop,,56.16057,10.10211
Vest,Langdalsvej 7 B,Holcher,1 gang,ved busstop,,56.15785,10.10010
Vest,Langdalsvej / Høiriisgårdsvej,Holcher,1 gang,ved busstop,efter Mariedalsvej,56.15603,10.10056
Vest,Hejredalsvej / Røgelvej,Holcher,1 gang,ved busstop,,56.15636,10.12468
Vest,Viby Torv / Skanderborgvej,Holcher,2 gange,ved busstop - vest,,56.12877,10.16301
Vest,Viby Torv / Skanderborgvej,Holcher,2 gange,ved busstop - øst,,56.12884,10.16312
Vest,Viby Torv / Kirkevej,RM 30,2 gange,på stander,ved Kirkevej,56.12862,10.16299
Vest,Viby Torv,TipLine,2 gange,ved bænk,mod Kirkevej - vest,56.12861,10.16330
Vest,Viby Torv,TipLine,2 gange,ved bænk,mod Kirkevej - øst,56.12855,10.16363
Vest,Viby Torv,RM 70,2 gange,på Taxa-skilt,indgang til P-plads - vest,56.12869,10.16320
